census_tract,pop_total,pop_hl,pop_white_non_hl,prop_hl,prop_white_non_hl,median_income
34003061200,3277,304,2813,0.09276777540433323,0.8584070796460177,153958
34003061300,3722,163,3124,0.043793659322944656,0.8393336915636754,250
34003061400,4931,202,4267,0.04096532143581424,0.8653417156763334,160575
34005700102,2306,62,2174,0.026886383347788378,0.94275802254987,103500
34005700103,3015,171,2007,0.056716417910447764,0.6656716417910448,75714
34005700104,2108,230,919,0.10910815939278938,0.43595825426944973,63846
34005700200,2761,176,2350,0.06374501992031872,0.8511408909815285,113239
34005700303,3983,102,3150,0.025608837559628422,0.7908611599297012,109516
34005700304,2269,212,1923,0.09343323049801674,0.8475099162626708,101429
34005700305,4896,175,4325,0.03574346405228758,0.8833741830065359,128125
34005700306,2895,56,2780,0.01934369602763385,0.9602763385146805,114375
34005700307,2872,243,2414,0.0846100278551532,0.8405292479108635,147989
34005700401,1845,65,1534,0.03523035230352303,0.8314363143631436,86563
34005700402,3715,306,3007,0.08236877523553163,0.809421265141319,73850
34005700403,4585,360,3738,0.07851690294438386,0.815267175572519,82500
34005700405,1829,346,1341,0.18917441224712958,0.7331875341716785,74853
34005700407,5077,668,1914,0.13157376403387827,0.37699428796533385,44219
34005700408,2767,445,1383,0.16082399710878206,0.49981929887965304,68252
34005700501,5514,537,4576,0.09738846572361262,0.8298875589408777,116019
34005700502,2265,96,1995,0.0423841059602649,0.8807947019867549,114107
34005700503,3377,211,2397,0.06248149244891916,0.7098015990524134,160435
34005700504,3518,96,3088,0.027288231949971573,0.877771461057419,160152
34005700505,6591,225,4687,0.03413746017296313,0.7111212259141253,250
34005700602,6703,414,5205,0.061763389527077425,0.7765179770252126,110510
34005700603,6049,387,4575,0.06397751694494958,0.756323359232931,75673
34005700605,4956,171,4246,0.03450363196125908,0.8567393058918482,111453
34005700701,3312,385,2435,0.11624396135265701,0.7352053140096618,75214
34005700702,2328,646,1078,0.2774914089347079,0.4630584192439863,63550
34005700703,2346,498,1557,0.21227621483375958,0.6636828644501279,49154
34005700800,4741,355,3172,0.07487871757013288,0.6690571609365112,66741
34005700900,2107,237,1169,0.11248220218319886,0.5548172757475083,84234
34005701001,4950,832,2358,0.16808080808080808,0.4763636363636364,58373
34005701002,3969,442,2327,0.11136306374401612,0.5862937767699673,89963
34005701102,5804,922,2521,0.15885596140592695,0.434355616815989,90434
34005701103,6662,553,3044,0.08300810567397178,0.4569198438907235,89375
34005701104,5071,147,2226,0.028988365213961743,0.4389666732399921,105170
34005701105,6231,422,2315,0.06772588669555449,0.37152944952656075,66146
34005701201,2842,230,1418,0.08092892329345532,0.4989444053483462,82348
34005701203,2097,118,1005,0.05627086313781593,0.4792560801144492,95417
34005701204,2835,554,962,0.19541446208112875,0.33932980599647267,35441
34005701205,2026,265,1349,0.13079960513326752,0.6658440276406713,77393
34005701301,4672,535,3229,0.11451198630136987,0.691138698630137,74583
34005701302,3045,228,2575,0.0748768472906404,0.8456486042692939,94625
34005701303,4967,608,3318,0.12240789208777934,0.6680088584658748,112317
34005701401,6469,345,4210,0.05333127222136343,0.6507961044983769,135391
34005701402,2372,73,2082,0.030775716694772345,0.8777403035413154,61557
34005701502,3688,353,2554,0.09571583514099784,0.6925162689804772,82422
34005701700,3975,312,3064,0.07849056603773585,0.7708176100628931,86648
34005702101,4304,890,2769,0.20678438661710039,0.6433550185873605,78458
34005702203,3373,140,1678,0.04150607767565965,0.49747998814112065,62255
34005702204,2531,389,1408,0.15369419201896484,0.5563018569735283,70757
34005702206,1488,212,1019,0.1424731182795699,0.6848118279569892,56806
34005702207,3189,343,1778,0.10755722797115083,0.5575415490749451,46622
34005702208,6937,974,4194,0.14040651578492144,0.6045841141703907,100226
34005702209,3090,362,2151,0.11715210355987055,0.6961165048543689,72500
34005702210,4197,766,2178,0.1825113176078151,0.5189421015010722,69479
34005702300,1301,251,814,0.1929285165257494,0.6256725595695619,77737
34005702400,3248,167,2945,0.05141625615763547,0.9067118226600985,126997
34005702500,6174,889,3186,0.14399092970521543,0.5160349854227405,95735
34005702601,4004,466,2529,0.11638361638361638,0.6316183816183816,86829
34005702603,2690,468,1310,0.17397769516728626,0.48698884758364314,56750
34005702701,2755,626,522,0.22722323049001814,0.18947368421052632,102424
34005702702,6305,509,3470,0.08072957969865187,0.5503568596352102,121563
34005702801,2287,452,394,0.19763882815916048,0.17227809357236554,91508
34005702802,2875,412,276,0.14330434782608695,0.096,80163
34005702803,4179,673,404,0.16104331179708065,0.096673845417564,107212
34005702804,2771,161,390,0.058101768314687836,0.14074341392998918,77202
34005702805,3386,487,391,0.1438275251033668,0.11547548730064973,75000
34005702806,3039,168,351,0.055281342546890426,0.11549851924975321,94545
34005702807,3112,291,389,0.0935089974293059,0.125,66500
34005702808,3640,968,475,0.26593406593406593,0.1304945054945055,74544
34005702809,2169,60,342,0.027662517289073305,0.15767634854771784,66775
34005702810,1636,390,176,0.23838630806845965,0.10757946210268948,77083
34005702811,2669,141,282,0.05282877482203072,0.10565754964406145,97404
34005702905,4854,169,3811,0.034816646065100945,0.7851256695508859,102063
34005702906,1844,173,1443,0.0938177874186551,0.7825379609544468,114022
34005702907,2807,117,2562,0.04168151050944068,0.912718204488778,95375
34005702908,4959,527,3317,0.10627142569066345,0.6688848558177052,105324
34005702909,6603,233,4063,0.03528699076177495,0.6153263668029684,110765
34005702910,4903,296,3597,0.06037120130532327,0.7336324699163778,127178
34005702913,4615,246,2505,0.0533044420368364,0.542795232936078,75815
34005702914,5407,387,3497,0.07157388570371741,0.6467542075087849,110329
34005702915,4313,238,2730,0.05518200788314399,0.6329700904242986,93184
34005702917,2181,94,1576,0.04309949564419991,0.7226043099495644,116359
34005702918,1987,223,1162,0.11222949169602416,0.5848012078510317,105951
34005703000,6026,365,4847,0.06057085960836376,0.8043478260869565,114519
34005703102,2932,49,2403,0.016712141882673944,0.8195770804911323,187875
34005703103,4388,600,2201,0.13673655423883319,0.5015952597994531,73738
34005703104,5432,344,3664,0.06332842415316642,0.6745213549337261,113657
34005703201,3178,215,2743,0.06765261170547514,0.8631214600377596,97045
34005703202,3160,223,2777,0.07056962025316456,0.8787974683544304,115543
34005703203,3967,15,3816,0.0037811948575749935,0.9619359717670783,58076
34005703600,6792,47,6595,0.006919905771495877,0.9709952885747939,98527
34005703700,6444,223,5629,0.03460583488516449,0.8735257603972688,111326
34005703801,7329,166,6428,0.02264974757811434,0.8770637194705962,139496
34005703802,5107,239,4507,0.046798511846485216,0.8825141962012923,109479
34005703803,5200,153,4787,0.029423076923076923,0.9205769230769231,142165
34005703804,6629,73,6221,0.011012219037562226,0.938452255242118,181845
34005703900,4240,122,3829,0.028773584905660378,0.903066037735849,130864
34005704004,3826,356,3023,0.0930475692629378,0.7901202300052274,68480
34005704005,3784,140,3360,0.03699788583509514,0.8879492600422833,102165
34005704006,2235,87,1463,0.038926174496644296,0.654586129753915,98906
34005704007,3271,167,2929,0.05105472332619994,0.8954448180984409,80341
34005704008,5571,310,4351,0.05564530604918327,0.7810087955483755,111438
34005704009,4387,234,3313,0.053339411898791884,0.755185776156827,97813
34005704011,3207,67,2785,0.020891799189273464,0.8684128468974119,138611
34005704012,6002,208,5124,0.03465511496167944,0.8537154281906031,98895
34005704013,5721,116,4920,0.02027617549379479,0.8599895123230205,148170
34005704015,3646,150,2536,0.04114097641250686,0.6955567745474492,108365
34005704016,5125,318,4249,0.06204878048780488,0.8290731707317073,151901
34005704201,4828,448,4006,0.0927920463960232,0.8297431648715824,109236
34005704202,3951,486,2147,0.12300683371298406,0.5434067324727917,109926
34005704302,7461,376,4271,0.05039538935799491,0.5724433722021177,160430
34005704500,4195,616,2888,0.1468414779499404,0.6884386174016687,73063
34005704600,3224,516,1455,0.1600496277915633,0.451302729528536,75400
34005704700,3373,301,2835,0.08923806700266824,0.8404980729321079,99844
34005704801,3171,1053,1448,0.33207190160832545,0.456638284452854,82407
34005981802,1841,371,321,0.20152091254752852,0.17436175991309072,
34005982111,912,182,568,0.19956140350877194,0.6228070175438597,135833
34005982200,5320,1217,1844,0.2287593984962406,0.34661654135338343,96806
34007600200,1961,727,0,0.37072921978582357,0.0,25287
34007600400,2932,1510,32,0.515006821282401,0.010914051841746248,12129
34007600700,1516,1249,98,0.8238786279683378,0.06464379947229551,30060
34007600800,5288,3936,141,0.7443267776096822,0.026664145234493192,16617
34007600900,4247,3059,91,0.7202731339769249,0.021426889569107606,29797
34007601000,5852,5160,226,0.8817498291182502,0.03861927546138073,44885
34007601101,3034,2255,59,0.7432432432432432,0.01944627554383652,28641
34007601102,5356,3573,125,0.6671023151605676,0.02333831217326363,47560
34007601200,6623,3427,103,0.5174392269364336,0.015551864713875888,42500
34007601300,4152,2473,146,0.595616570327553,0.03516377649325626,27042
34007601400,4608,759,10,0.16471354166666666,0.002170138888888889,39549
34007601500,5387,2380,66,0.441804343790607,0.012251717096714312,25458
